epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.324,1.73778,2.56276,1.35739,0.62612,0.12747,0.12727,0.05596,1.76166,3.00466,1.30062,0.0003327,0.0003327,0.0670627
2,318.493,1.80208,2.32072,1.40147,0.46244,0.09419,0.11103,0.05622,1.87945,2.63268,1.46249,0.000659439,0.000659439,0.0340561
3,469.007,1.83552,2.19421,1.42306,0.50716,0.16119,0.13641,0.06733,1.83108,2.5155,1.34836,0.000979579,0.000979579,0.00104295
4,620.57,1.82327,2.15215,1.4064,0.31268,0.22725,0.17662,0.08244,1.74845,2.97054,1.24806,0.0009703,0.0009703,0.0009703
5,774.328,1.75108,1.97959,1.37132,0.56572,0.17037,0.16667,0.07871,1.72136,2.59389,1.30517,0.0009604,0.0009604,0.0009604
6,920.309,1.69248,1.89772,1.33167,0.40022,0.17484,0.16824,0.08974,1.70496,1.94371,1.27375,0.0009505,0.0009505,0.0009505
7,1074.49,1.65922,1.82211,1.33529,0.37059,0.23006,0.19249,0.09564,1.64587,2.40615,1.26053,0.0009406,0.0009406,0.0009406
8,1227.83,1.60881,1.75838,1.29687,0.40984,0.25236,0.20744,0.11033,1.64072,2.18436,1.21781,0.0009307,0.0009307,0.0009307
9,1383.25,1.61578,1.75598,1.29958,0.34746,0.29316,0.22045,0.1231,1.59811,1.88172,1.2381,0.0009208,0.0009208,0.0009208
10,1542.06,1.57431,1.661,1.27231,0.54554,0.26953,0.22205,0.12472,1.56042,1.71771,1.18142,0.0009109,0.0009109,0.0009109
11,1697.62,1.54375,1.61724,1.27596,0.72661,0.19005,0.23478,0.11648,1.59984,2.31134,1.21674,0.000901,0.000901,0.000901
12,1839.81,1.50985,1.60557,1.25407,0.55718,0.2255,0.22121,0.12336,1.55762,1.82017,1.20508,0.0008911,0.0008911,0.0008911
13,1978.91,1.52391,1.57842,1.25787,0.53007,0.29961,0.30011,0.15894,1.47762,1.76849,1.17148,0.0008812,0.0008812,0.0008812
14,2112.88,1.48037,1.5154,1.22843,0.55641,0.26711,0.25807,0.14836,1.52865,1.68355,1.21145,0.0008713,0.0008713,0.0008713
15,2249.26,1.46891,1.48578,1.22765,0.48662,0.27282,0.27057,0.1493,1.48059,1.63354,1.17352,0.0008614,0.0008614,0.0008614
16,2396.84,1.45784,1.46802,1.21608,0.45834,0.33568,0.28342,0.15515,1.49136,1.70353,1.1998,0.0008515,0.0008515,0.0008515
17,2545.36,1.45238,1.44251,1.2122,0.56636,0.2425,0.24601,0.1368,1.50773,1.63382,1.18655,0.0008416,0.0008416,0.0008416
18,2692.58,1.41993,1.40517,1.19974,0.43205,0.31501,0.29038,0.15448,1.50066,1.61679,1.18915,0.0008317,0.0008317,0.0008317
19,2849.93,1.41655,1.36246,1.18873,0.4875,0.30148,0.32115,0.17542,1.43531,1.70202,1.15665,0.0008218,0.0008218,0.0008218
20,3005.62,1.40344,1.33119,1.17735,0.64307,0.32722,0.32577,0.17578,1.43472,1.62179,1.17167,0.0008119,0.0008119,0.0008119
21,3160.87,1.40271,1.29229,1.16461,0.58077,0.30414,0.30511,0.17629,1.44671,1.71508,1.16619,0.000802,0.000802,0.000802
22,3304.18,1.38305,1.31721,1.16636,0.50504,0.29885,0.3058,0.17121,1.44696,1.6158,1.15317,0.0007921,0.0007921,0.0007921
23,3457.95,1.36488,1.28367,1.15334,0.56507,0.28369,0.3229,0.17937,1.41341,1.57782,1.13089,0.0007822,0.0007822,0.0007822
24,3610.11,1.35742,1.26975,1.16643,0.59235,0.30015,0.28542,0.16085,1.4403,1.69401,1.1539,0.0007723,0.0007723,0.0007723
25,3759.06,1.32507,1.24039,1.14772,0.63359,0.28584,0.32206,0.18858,1.43443,1.45752,1.16934,0.0007624,0.0007624,0.0007624
26,3910.7,1.33795,1.23711,1.147,0.58042,0.34212,0.32673,0.18362,1.39404,1.55249,1.13675,0.0007525,0.0007525,0.0007525
27,4054.6,1.32907,1.2274,1.1466,0.42535,0.32054,0.31264,0.17487,1.41087,1.4372,1.1677,0.0007426,0.0007426,0.0007426
28,4210.56,1.32201,1.26056,1.15227,0.64419,0.33309,0.33897,0.19999,1.37209,1.44165,1.12928,0.0007327,0.0007327,0.0007327
29,4361.99,1.29878,1.18023,1.14654,0.49088,0.28488,0.33285,0.19022,1.33869,1.46364,1.12008,0.0007228,0.0007228,0.0007228
30,4512.34,1.31208,1.17978,1.13644,0.58524,0.32571,0.32605,0.18527,1.41942,1.39879,1.14627,0.0007129,0.0007129,0.0007129
31,4666.65,1.29392,1.13607,1.12799,0.56916,0.3499,0.33021,0.19206,1.40039,1.31885,1.14844,0.000703,0.000703,0.000703
32,4817.98,1.26416,1.15955,1.12149,0.38824,0.32135,0.33749,0.1973,1.37223,1.33334,1.14366,0.0006931,0.0006931,0.0006931
33,4968.65,1.28271,1.13305,1.11552,0.60477,0.32942,0.33746,0.19852,1.3921,1.29773,1.11936,0.0006832,0.0006832,0.0006832
34,5121.89,1.28293,1.09606,1.10766,0.45441,0.30004,0.31805,0.18602,1.37461,1.30623,1.11392,0.0006733,0.0006733,0.0006733
35,5274.15,1.24907,1.07043,1.10947,0.5935,0.32327,0.35699,0.21092,1.34114,1.34482,1.13648,0.0006634,0.0006634,0.0006634
36,5418.99,1.24513,1.05651,1.10052,0.65219,0.27981,0.32327,0.18783,1.37193,1.34511,1.11928,0.0006535,0.0006535,0.0006535
37,5573.31,1.26932,1.06737,1.09488,0.53628,0.30393,0.31722,0.1873,1.38474,1.44404,1.12365,0.0006436,0.0006436,0.0006436
38,5720.7,1.23419,1.0342,1.10824,0.59113,0.29622,0.32757,0.19301,1.37501,1.31041,1.137,0.0006337,0.0006337,0.0006337
39,5862.07,1.23322,1.05151,1.10105,0.60516,0.3327,0.32436,0.192,1.37252,1.5194,1.12824,0.0006238,0.0006238,0.0006238
40,6008.12,1.23349,1.0547,1.10299,0.74915,0.30603,0.36922,0.22632,1.30254,1.21938,1.09086,0.0006139,0.0006139,0.0006139
41,6152.56,1.21123,1.02771,1.09496,0.4313,0.35819,0.32069,0.19394,1.35128,1.42858,1.10941,0.000604,0.000604,0.000604
42,6289.43,1.2232,1.04726,1.07857,0.55012,0.35194,0.35811,0.21575,1.36471,1.24162,1.1305,0.0005941,0.0005941,0.0005941
43,6435.26,1.19366,0.99763,1.07376,0.71224,0.30069,0.3634,0.20627,1.34686,1.16497,1.13715,0.0005842,0.0005842,0.0005842
44,6573.06,1.18043,0.98914,1.07766,0.47499,0.36371,0.36458,0.2135,1.35354,1.16731,1.12713,0.0005743,0.0005743,0.0005743
45,6720.38,1.18435,0.96131,1.07686,0.46847,0.3507,0.35717,0.21723,1.30877,1.40849,1.09212,0.0005644,0.0005644,0.0005644
46,6876.31,1.20074,0.96369,1.06946,0.53466,0.3409,0.34304,0.19241,1.37315,1.31286,1.11676,0.0005545,0.0005545,0.0005545
47,7021.19,1.20015,0.99339,1.06949,0.38087,0.38387,0.33019,0.19619,1.37261,1.25706,1.12699,0.0005446,0.0005446,0.0005446
48,7174.09,1.17999,0.95795,1.06975,0.43431,0.37949,0.35709,0.20793,1.31696,1.19273,1.09706,0.0005347,0.0005347,0.0005347
49,7319.84,1.1564,0.95466,1.06572,0.47407,0.36563,0.36493,0.20958,1.34516,1.25052,1.11444,0.0005248,0.0005248,0.0005248
50,7468.67,1.16633,0.95283,1.07022,0.58679,0.32114,0.33396,0.19207,1.32269,1.17452,1.09559,0.0005149,0.0005149,0.0005149
51,7619.72,1.15257,0.93078,1.06582,0.39249,0.35532,0.34966,0.20105,1.34344,1.29745,1.1298,0.000505,0.000505,0.000505
52,7759.47,1.15156,0.89848,1.05439,0.45673,0.32596,0.34817,0.19424,1.32208,1.16648,1.08773,0.0004951,0.0004951,0.0004951
53,7896.7,1.1323,0.90705,1.04069,0.45556,0.32376,0.33139,0.19376,1.3069,1.22651,1.07201,0.0004852,0.0004852,0.0004852
54,8044.09,1.10927,0.89836,1.05084,0.47163,0.36938,0.3667,0.22408,1.29018,1.21187,1.08825,0.0004753,0.0004753,0.0004753
55,8192.23,1.13295,0.89782,1.04822,0.58782,0.28799,0.33259,0.20346,1.31219,1.21023,1.09256,0.0004654,0.0004654,0.0004654
56,8338.25,1.11019,0.87485,1.02066,0.42887,0.35042,0.34824,0.21538,1.28769,1.14741,1.08698,0.0004555,0.0004555,0.0004555
57,8488.08,1.09454,0.82892,1.01333,0.54612,0.31162,0.34319,0.20629,1.29101,1.17351,1.09838,0.0004456,0.0004456,0.0004456
58,8637.76,1.10391,0.84734,1.03462,0.62019,0.32922,0.34488,0.20488,1.27542,1.14107,1.08462,0.0004357,0.0004357,0.0004357
59,8790.92,1.07665,0.82248,1.01313,0.47603,0.2974,0.32227,0.19515,1.31283,1.14603,1.09728,0.0004258,0.0004258,0.0004258
60,8941.11,1.09655,0.82504,1.02642,0.5812,0.32395,0.33519,0.20263,1.28517,1.16367,1.08787,0.0004159,0.0004159,0.0004159
61,9094.51,1.07416,0.82727,1.02078,0.4451,0.33594,0.33709,0.20007,1.32371,1.13778,1.0889,0.000406,0.000406,0.000406
62,9244.22,1.07439,0.81396,1.02065,0.75114,0.27892,0.35685,0.21118,1.31725,1.1675,1.11145,0.0003961,0.0003961,0.0003961
63,9390.63,1.08286,0.78971,1.01957,0.3987,0.3875,0.35946,0.21691,1.28071,1.12437,1.08972,0.0003862,0.0003862,0.0003862
64,9543.14,1.09297,0.8087,1.01914,0.49394,0.29764,0.3292,0.20107,1.29216,1.15112,1.08429,0.0003763,0.0003763,0.0003763
65,9685.81,1.0693,0.79172,0.99994,0.59054,0.36153,0.34858,0.20363,1.25466,1.13524,1.0723,0.0003664,0.0003664,0.0003664
66,9834.63,1.06587,0.81872,1.0089,0.64461,0.31136,0.3397,0.20517,1.2675,1.20064,1.08899,0.0003565,0.0003565,0.0003565
67,9981.08,1.05699,0.79023,1.00933,0.50551,0.37627,0.34799,0.20519,1.28008,1.17537,1.08264,0.0003466,0.0003466,0.0003466
68,10134.3,1.0499,0.75527,0.99341,0.6593,0.33305,0.35928,0.2163,1.25775,1.14219,1.0626,0.0003367,0.0003367,0.0003367
69,10289.9,1.03427,0.76967,0.99885,0.39681,0.3691,0.35367,0.21249,1.26206,1.12334,1.06167,0.0003268,0.0003268,0.0003268
70,10436.9,1.04693,0.76196,0.99574,0.56068,0.35745,0.36336,0.21747,1.25439,1.13331,1.06063,0.0003169,0.0003169,0.0003169
71,10587.7,1.0279,0.75108,0.99246,0.54031,0.34595,0.31818,0.19393,1.25723,1.16791,1.06395,0.000307,0.000307,0.000307
72,10738.7,1.02192,0.73558,0.98841,0.50673,0.32188,0.35959,0.21539,1.25188,1.10768,1.0625,0.0002971,0.0002971,0.0002971
73,10883.4,1.00774,0.7362,0.97346,0.56507,0.37237,0.38649,0.24262,1.27162,1.09608,1.0694,0.0002872,0.0002872,0.0002872
74,11036.8,1.01271,0.73043,0.9836,0.65579,0.3068,0.36559,0.22607,1.25966,1.14202,1.07317,0.0002773,0.0002773,0.0002773
75,11197.2,1.03132,0.73654,0.98836,0.55345,0.35027,0.35661,0.22145,1.24104,1.13738,1.05815,0.0002674,0.0002674,0.0002674
76,11385.1,1.03946,0.74768,0.99098,0.59205,0.32894,0.34425,0.20871,1.2647,1.11535,1.07438,0.0002575,0.0002575,0.0002575
77,11539.9,1.00888,0.71364,0.9731,0.60767,0.34226,0.35427,0.21462,1.25264,1.09253,1.07127,0.0002476,0.0002476,0.0002476
78,11684.8,0.98159,0.70737,0.97693,0.61387,0.32142,0.35208,0.21241,1.25083,1.17127,1.07529,0.0002377,0.0002377,0.0002377
79,11835.1,0.99209,0.69969,0.97993,0.45939,0.33545,0.33412,0.20276,1.25885,1.17596,1.07325,0.0002278,0.0002278,0.0002278
80,11988.3,0.96905,0.68419,0.97485,0.6131,0.34374,0.36511,0.22119,1.22871,1.05763,1.05489,0.0002179,0.0002179,0.0002179
81,12141,0.96987,0.67714,0.96374,0.65832,0.29851,0.33301,0.21295,1.24949,1.09979,1.08032,0.000208,0.000208,0.000208
82,12296,0.97028,0.67875,0.95926,0.62586,0.32516,0.36185,0.21402,1.25438,1.07514,1.06584,0.0001981,0.0001981,0.0001981
83,12446.9,1.00274,0.69582,0.96987,0.64158,0.3233,0.3646,0.21649,1.24346,1.0759,1.05487,0.0001882,0.0001882,0.0001882
84,12594.8,0.96404,0.65426,0.95465,0.61823,0.33395,0.36298,0.22022,1.23542,1.08868,1.0598,0.0001783,0.0001783,0.0001783
85,12750,0.93122,0.64877,0.95209,0.58118,0.35738,0.36502,0.22,1.2414,1.08137,1.06918,0.0001684,0.0001684,0.0001684
86,12908.2,0.95078,0.66162,0.96693,0.55333,0.35303,0.36138,0.22071,1.23359,1.08866,1.05495,0.0001585,0.0001585,0.0001585
87,13076.9,0.92799,0.65663,0.94457,0.55798,0.3398,0.35633,0.21541,1.23595,1.11083,1.06045,0.0001486,0.0001486,0.0001486
88,13239.4,0.93689,0.63981,0.95036,0.61652,0.35105,0.36879,0.2258,1.21869,1.05412,1.04888,0.0001387,0.0001387,0.0001387
89,13375.3,0.93946,0.63642,0.95448,0.58941,0.36421,0.36689,0.22471,1.22475,1.07411,1.05272,0.0001288,0.0001288,0.0001288
90,13526.9,0.95428,0.64728,0.94865,0.63681,0.30824,0.36248,0.21744,1.23919,1.08738,1.05374,0.0001189,0.0001189,0.0001189
91,13668.8,0.96526,0.6334,0.94987,0.58909,0.3412,0.36085,0.22072,1.2406,1.12048,1.05935,0.000109,0.000109,0.000109
92,13807.3,0.95806,0.62007,0.93836,0.36552,0.4074,0.36522,0.22632,1.22857,1.1131,1.05541,9.91e-05,9.91e-05,9.91e-05
93,13948.7,0.93941,0.60788,0.93095,0.42158,0.37308,0.36069,0.21242,1.23075,1.07619,1.05703,8.92e-05,8.92e-05,8.92e-05
94,14087.9,0.94791,0.60807,0.93727,0.4024,0.37223,0.35672,0.2145,1.23596,1.07517,1.06099,7.93e-05,7.93e-05,7.93e-05
95,14230.8,0.91769,0.58783,0.92396,0.4052,0.35979,0.35878,0.22345,1.23249,1.11084,1.05361,6.94e-05,6.94e-05,6.94e-05
96,14372.1,0.94761,0.60243,0.9233,0.4009,0.3988,0.37202,0.23063,1.22959,1.10936,1.05283,5.95e-05,5.95e-05,5.95e-05
97,14515.1,0.93391,0.59048,0.90993,0.4063,0.39642,0.36251,0.22358,1.23264,1.10122,1.05525,4.96e-05,4.96e-05,4.96e-05
98,14649.1,0.93797,0.5857,0.92697,0.41263,0.41475,0.37296,0.2305,1.22375,1.08431,1.0583,3.97e-05,3.97e-05,3.97e-05
99,14786.8,0.93553,0.57887,0.91898,0.44522,0.40243,0.37483,0.23016,1.22124,1.08539,1.06278,2.98e-05,2.98e-05,2.98e-05
100,14927.4,0.93059,0.57529,0.91943,0.43453,0.41508,0.37533,0.22988,1.21726,1.08854,1.06053,1.99e-05,1.99e-05,1.99e-05
