number,value,datetime_start,datetime_complete,duration,params_batch_size,params_box,params_cls,params_degrees,params_fliplr,params_hsv_h,params_hsv_s,params_hsv_v,params_imgsz,params_lr0,params_lrf,params_mixup,params_model_variant,params_momentum,params_mosaic,params_scale,params_translate,params_warmup_epochs,params_weight_decay,user_attrs_train_time_s,user_attrs_trial_time_s,state
0,0.04481,2026-06-21 08:09:12.655899,2026-06-21 08:10:20.645313,0 days 00:01:07.989414,16.0,5.728715964643011,2.935941027895853,7.793829217937525,0.6933602708701251,0.0006230255204589864,0.4517894174300664,0.41739576620222285,640.0,0.008591315698733486,0.012429810235032868,0.17920018317985775,n,0.9820784643898164,0.16384224140469872,0.8040952649194555,0.03953701492005062,4.0,0.00026892550160276973,65.7,65.7,COMPLETE
1,0.04721,2026-06-21 08:10:20.684190,2026-06-21 08:10:52.229402,0 days 00:00:31.545212,16.0,11.591818454252502,2.4230261620246645,6.007427213777693,0.4633775440608059,0.08662892985816985,0.4038992528975689,0.23747429350655352,640.0,0.0001042250699650395,0.005931199953590064,0.28127147518528256,n,0.7128064168001348,0.5279088234179203,0.7133661172573988,0.03359443674368077,3.0,0.0008190415525240616,30.9,30.9,COMPLETE
2,0.04589,2026-06-21 08:10:52.259334,2026-06-21 08:11:23.231840,0 days 00:00:30.972506,16.0,9.10088195300795,1.384037697693737,7.674049670901239,0.5010132237307737,0.06498051090193423,0.5381400017410396,0.5119580567741115,640.0,0.0011050762490288238,0.0016458367889851438,0.07610389459841495,n,0.7458847880835918,0.6866670799163458,0.46290303801127963,0.03579478200822617,3.0,0.0001231417449623481,30.4,30.4,COMPLETE
3,0.04565,2026-06-21 08:11:23.264586,2026-06-21 08:11:54.489730,0 days 00:00:31.225144,16.0,5.531571216951707,1.6440441094667255,8.301881020983462,0.4619300869243624,0.018244540457120685,0.8510298234838578,0.4159110356706138,640.0,0.0012867131099565336,0.017777131629356006,0.1716416310818246,n,0.9596953381562823,0.33117450309112273,0.8332673121203569,0.08335526093567253,4.0,5.3174960610036336e-05,30.7,30.7,COMPLETE
4,0.06017,2026-06-21 08:11:54.518627,2026-06-21 08:12:25.476290,0 days 00:00:30.957663,16.0,5.963629668664817,2.278002311192913,0.6506781238280734,0.5458251385401327,0.08946512923167388,0.6088403825478871,0.5017817551801032,640.0,0.004907804993811855,0.052726461126453704,0.2303274102992237,n,0.8727495539498169,0.3636503470448379,0.2904307485693064,0.10801494592856127,3.0,1.476805231133863e-05,30.4,30.4,COMPLETE
5,,2026-06-21 08:22:04.927652,2026-06-21 08:22:06.186097,0 days 00:00:01.258445,,,,,,,,,,,,,,,,,,,,,,FAIL
6,,2026-06-21 08:22:06.276009,2026-06-21 08:22:06.313595,0 days 00:00:00.037586,,,,,,,,,,,,,,,,,,,,,,FAIL
7,,2026-06-21 08:22:06.341337,2026-06-21 08:22:06.374636,0 days 00:00:00.033299,,,,,,,,,,,,,,,,,,,,,,FAIL
8,,2026-06-21 08:22:06.401677,2026-06-21 08:22:06.435988,0 days 00:00:00.034311,,,,,,,,,,,,,,,,,,,,,,FAIL
9,,2026-06-21 08:22:06.462229,2026-06-21 08:22:06.500483,0 days 00:00:00.038254,,,,,,,,,,,,,,,,,,,,,,FAIL
10,,2026-06-21 08:22:06.530152,2026-06-21 08:22:06.569433,0 days 00:00:00.039281,,,,,,,,,,,,,,,,,,,,,,FAIL
11,,2026-06-21 08:22:06.596908,2026-06-21 08:22:06.636331,0 days 00:00:00.039423,,,,,,,,,,,,,,,,,,,,,,FAIL
12,,2026-06-21 08:22:06.666281,2026-06-21 08:22:06.702627,0 days 00:00:00.036346,,,,,,,,,,,,,,,,,,,,,,FAIL
13,,2026-06-21 08:22:06.731297,2026-06-21 08:22:06.767182,0 days 00:00:00.035885,,,,,,,,,,,,,,,,,,,,,,FAIL
14,,2026-06-21 08:22:06.798240,2026-06-21 08:22:06.834330,0 days 00:00:00.036090,,,,,,,,,,,,,,,,,,,,,,FAIL
